scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S2,BASELINE,8,1008,0,59,59,4539,44.68,28.88,57.72,6.09,19.55,18.86,20.34,0.3,236,1923.3051,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,8,1008,0,67.985,67.985,4539,15.36,6.99,44.65,7.21,19.55,18.86,20.34,0.3,824,550.8495,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,9,1009,0,60,60,4509,43.2,30.1,56.98,5.78,19.58,18.74,20.16,0.28,240,1878.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,9,1009,0,69,69,4509,14.44,5.67,40.1,6.21,19.58,18.74,20.16,0.28,840,536.7857,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,10,1010,0,59,59,4521,43.65,30.71,54.68,5.02,19.53,18.58,20.2,0.33,236,1915.678,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,10,1010,0,67.985,67.985,4521,15.01,6.7,40.39,6.92,19.53,18.58,20.2,0.33,800,565.125,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,11,1011,0,61,61,4500,42.23,31.39,52.71,5.12,19.6,19.01,20.38,0.32,244,1844.2623,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,11,1011,0,70.015,70.015,4500,14.43,5.5,42.44,7.36,19.6,19.01,20.38,0.32,840,535.7143,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,12,1012,0,60,60,4546,43.12,30.09,55.87,5.51,19.58,18.99,20.2,0.29,240,1894.1667,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,12,1012,0,69,69,4546,14.14,5.22,36.92,6.5,19.58,18.99,20.2,0.29,840,541.1905,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,13,1013,0,60,60,4533,43.37,29.9,57.18,5.59,19.55,18.67,20.05,0.29,240,1888.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,13,1013,0,69,69,4533,14.51,5.22,42.8,6.92,19.55,18.67,20.05,0.29,840,539.6429,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,14,1014,0,61,61,4529,42.91,31.19,52.12,4.63,19.52,18.74,20.2,0.31,244,1856.1475,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,14,1014,0,70.015,70.015,4529,14.6,8.84,47.08,6.62,19.52,18.74,20.2,0.31,856,529.0888,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,15,1015,0,59,59,4533,44.1,33.21,62.9,5.77,19.53,18.87,20.02,0.3,236,1920.7627,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,15,1015,0,67.985,67.985,4533,14.76,6.13,45.74,6.65,19.53,18.87,20.02,0.3,824,550.1214,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,16,1016,0,62,62,4521,41.54,30.04,54.36,4.97,19.5,18.7,20.31,0.33,248,1822.9839,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,16,1016,0,71.03,71.03,4521,13.65,5,39.05,6.23,19.5,18.7,20.31,0.33,872,518.4633,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,17,1017,0,61,61,4522,42.08,32.03,54.78,5.31,19.56,19.02,20.49,0.29,244,1853.2787,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,17,1017,0,70.015,70.015,4522,14.03,6.22,54.78,8.19,19.56,19.02,20.49,0.29,856,528.271,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,18,1018,0,61,61,4540,42.83,30.31,58.75,5.3,19.59,18.9,20.3,0.27,244,1860.6557,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,18,1018,0,70.015,70.015,4540,15.7,6.32,36.58,7.62,19.59,18.9,20.3,0.27,816,556.3725,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,19,1019,0,61,61,4546,42.82,31.38,63.03,5.94,19.55,18.84,20.1,0.28,244,1863.1148,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,19,1019,0,70.015,70.015,4546,14.21,5.56,43.17,6.7,19.55,18.84,20.1,0.28,856,531.0748,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,20,1020,0,59,59,4505,43.45,32.72,53.27,5.28,19.59,18.87,20.61,0.33,236,1908.8983,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,20,1020,0,67.985,67.985,4505,14.3,5,47.52,6.87,19.59,18.87,20.61,0.33,824,546.7233,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,21,1021,0,60,60,4526,42.85,28.89,53.58,4.96,19.57,18.61,20.17,0.37,240,1885.8333,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,21,1021,0,69,69,4526,13.99,7.22,46.63,6.96,19.57,18.61,20.17,0.37,840,538.8095,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,22,1022,0,62,62,4575,42.27,27.51,57.91,6.24,19.54,18.74,20.19,0.3,248,1844.7581,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,22,1022,0,71.03,71.03,4575,14,5,42.33,6.6,19.54,18.74,20.19,0.3,872,524.656,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,23,1023,0,61,61,4540,42.52,31.71,52.93,4.86,19.56,18.9,20.09,0.3,244,1860.6557,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,23,1023,0,70.015,70.015,4540,13.92,6.7,34.96,5.81,19.56,18.9,20.09,0.3,856,530.3738,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,24,1024,0,59,59,4507,43.37,33.99,55.94,4.79,19.62,19.14,20.16,0.25,236,1909.7458,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,24,1024,0,67.985,67.985,4507,14.18,5,36.22,6.31,19.62,19.14,20.16,0.25,824,546.966,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,25,1025,0,61,61,4564,42.99,33.68,56.63,5.31,19.56,18.8,20.37,0.3,244,1870.4918,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,25,1025,0,70.015,70.015,4564,14.45,7.04,40.27,6.9,19.56,18.8,20.37,0.3,856,533.1776,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,26,1026,0,61,61,4576,43.08,34.91,58.27,4.95,19.51,19,20.38,0.27,244,1875.4098,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,26,1026,0,70.015,70.015,4576,14.3,5,39.17,6.38,19.51,19,20.38,0.27,856,534.5794,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,27,1027,0,61,61,4545,42.5,31.78,57.61,5.81,19.53,18.97,20.29,0.3,244,1862.7049,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,27,1027,0,70.015,70.015,4545,14.06,5.98,52,7.5,19.53,18.97,20.29,0.3,856,530.9579,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,28,1028,0,62,62,4520,41.6,28.19,55.5,5.29,19.54,18.94,20.22,0.31,248,1822.5806,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,28,1028,0,71.03,71.03,4520,13.64,5.22,39.02,6.2,19.54,18.94,20.22,0.31,872,518.3486,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,29,1029,0,61,61,4516,41.98,30.29,53.21,5.69,19.59,19.16,20.26,0.26,244,1850.8197,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,29,1029,0,70.015,70.015,4516,13.76,5.28,39.19,7.09,19.59,19.16,20.26,0.26,856,527.5701,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,30,1030,0,61,61,4552,42.15,31.34,52.73,4.31,19.52,18.94,20.33,0.3,244,1865.5738,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,30,1030,0,70.015,70.015,4552,13.85,6.64,45.39,6.61,19.52,18.94,20.33,0.3,840,541.9048,9.015,8,,,,0.45,0.35,0.2,4
S3,BASELINE,1,1001,0,81,81,4013,27.94,5.48,57.92,14.17,15.61,11.07,20.98,3.5,324,1238.5802,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,1,1001,0,90.315,90.315,4013,37.35,9.73,83.32,17.34,15.61,11.07,21,3.5,318,1261.9497,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,2,1002,0,81,81,4001,28.38,6.28,58.32,14.81,15.56,11.02,20.9,3.52,324,1234.8765,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,2,1002,0,90.315,90.315,4001,37.49,6.9,81.81,17.31,15.56,11.02,20.9,3.52,318,1258.1761,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,3,1003,0,80,80,4009,28.59,7.18,57.67,15.72,15.53,11.07,21.25,3.53,320,1252.8125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,3,1003,0,89.3,89.3,4009,38,13.81,81.34,18.52,15.54,11.07,21.25,3.53,304,1318.75,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,4,1004,0,80,80,4008,28.53,6.42,59.77,15.05,15.49,11.05,20.92,3.5,320,1252.5,0,0,,,6,0.45,0.35,0.2,4
